freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
24,2026-07-15T17:16:16.076,994,-0.098776355,0.07286778,0.11993489,249.60432372600238,-198.76715301861591,356.51339450034595
25,2026-07-15T17:16:16.690,1012,-0.11030662,0.05231131,0.14075762,75.75605649894234,-504.6385749161403,-63.89192914864913
26,2026-07-15T17:16:17.051,1022,-0.10210593,0.050451342,0.12717439,-23.99474240010873,-661.5665784770011,11.626030250547394
27,2026-07-15T17:16:17.394,1033,-0.114168726,0.051778957,0.10262711,-53.858974913836015,-629.4741452397442,67.63143718659488
28,2026-07-15T17:16:17.768,1044,-0.11754568,0.060003575,0.09670527,-104.06782066238624,-536.7023388879111,105.60179039593694
29,2026-07-15T17:16:18.123,1053,-0.10022985,0.06587933,0.09763049,-262.80786474239346,-774.1183993484849,5.383309361677575
30,2026-07-15T17:16:18.495,1064,-0.076427095,0.054923855,0.09198477,-456.4195756800022,-1035.624156120873,-50.26209501220577
31,2026-07-15T17:16:18.842,1073,-0.072589405,0.053010922,0.083405696,-1028.993623173756,-1477.5778658381546,23.81226265835499
32,2026-07-15T17:16:19.222,1084,-0.062173247,0.058455963,0.0630874,-1755.5722381831617,-1637.2256712907163,216.94346680005643
33,2026-07-15T17:16:19.585,1094,-0.05563931,0.050760888,0.051762428,-2594.2736227983746,-2115.3945967823984,583.5345490683717
34,2026-07-15T17:16:19.949,1105,-0.043605164,0.040348183,0.045916077,-6058.076936292887,-4623.264808143569,1600.463244731787
35,2026-07-15T17:16:20.282,1115,-0.036244076,0.03630581,0.041952413,-12317.009610090723,-5766.2421303695255,2501.356073989533
36,2026-07-15T17:16:20.624,1125,-0.036935914,0.03572479,0.046310242,-11341.53491292508,-5553.702858457085,2131.326260539926
37,2026-07-15T17:16:20.996,1136,-0.048715796,0.042716656,0.076782145,-1670.8840753241832,-2601.2628562372747,-456.1419292153979
38,2026-07-15T17:16:21.334,1144,-0.057870496,0.057838425,0.09986118,-872.5466702840544,-1407.6433344420159,-722.5233914394558
39,2026-07-15T17:16:21.700,1155,-0.025947519,0.048516616,0.06407193,-2989.254142025663,-2759.58088100288,-1954.713351257872
40,2026-07-15T17:16:22.059,1166,-0.019454217,0.040323783,0.052918047,-9411.8763514261,-1358.0565530656402,-3633.174017872201
41,2026-07-15T17:16:22.415,1176,-0.017361538,0.0447829,0.053066038,-8494.383998149446,-2041.1862584703936,-3709.0378334838233
42,2026-07-15T17:16:23.126,1195,-0.04544877,0.05844762,0.11835772,-339.53925043468956,-1104.6377468476294,-401.26493200084434
43,2026-07-15T17:16:23.490,1206,-0.1615447,0.030225085,0.16547857,340.1742333311229,-428.8966886094453,-342.03124342292944
44,2026-07-15T17:16:23.980,1220,-0.10621411,0.04660299,0.13193324,142.36216710274206,-616.7187865531448,135.12846365672803
45,2026-07-15T17:16:24.317,1229,-0.116961524,0.034989007,0.13053583,274.4490251467505,-463.4800870366192,99.60015821536726
46,2026-07-15T17:16:24.900,1246,-0.09369671,-0.01320263,0.16576992,621.5048649480693,-100.04953592030442,128.61004318486988
47,2026-07-15T17:16:25.231,1256,-0.06763507,-0.06543112,0.13068265,675.1605246663347,690.0901049542997,-96.99955142392834
48,2026-07-15T17:16:25.591,1266,-0.041769568,-0.07943168,0.0977669,-569.3413627339977,2234.7071461272394,-91.9069297063434
49,2026-07-15T17:16:25.956,1276,-0.017719874,-0.072834894,0.07416277,-4542.505849625121,4253.757147052067,830.4950270922881
50,2026-07-15T17:16:26.337,1286,-0.014639624,-0.06815098,0.054222975,-6815.135221126932,4909.207738429918,1421.1676708590692
51,2026-07-15T17:16:26.690,1295,-0.0048088958,-0.06649708,0.042067558,-7977.613699822893,4349.229698157229,451.66988948274826
52,2026-07-15T17:16:27.043,1304,-0.0009955862,-0.076193966,0.042600002,-4600.694949148529,2102.2463797010687,614.6370017440903
53,2026-07-15T17:16:27.384,1314,0.004104933,-0.07538085,0.048984814,-4380.41857798905,1232.945194682499,1666.2414226389055
54,2026-07-15T17:16:27.731,1324,-0.0139120035,-0.076200046,0.061935868,-2687.9494469514134,3192.235042637437,-30.83347517171972
55,2026-07-15T17:16:28.075,1334,-0.047673512,-0.06407653,0.090633936,24.126383646258063,1926.0684636867604,-566.4004244379389
56,2026-07-15T17:16:28.416,1344,-0.065813124,-0.036793105,0.12822601,1163.217473013529,454.9799042458379,2.428416864503165
57,2026-07-15T17:16:28.775,1354,-0.06677297,-0.033113375,0.12614535,1396.1745294916725,357.4412591929086,77.10336844323714
58,2026-07-15T17:16:29.144,1363,-0.06468247,-0.032296225,0.123276,1501.7525253925712,357.88381823107494,106.8984336900305
59,2026-07-15T17:16:29.482,1372,-0.06475898,-0.028639408,0.12512505,1490.9760554250709,235.10215344473485,65.37300356220415
60,2026-07-15T17:16:29.865,1383,-0.062816754,-0.02673713,0.1228225,1611.173489668596,199.2473888477399,93.45033026413853
61,2026-07-15T17:16:30.246,1393,-0.06303151,-0.025814906,0.121328965,1702.3256708505894,159.67022134715353,94.86295788156745
62,2026-07-15T17:16:30.593,1403,-0.060097653,-0.023221811,0.117617965,1744.5199969948014,124.4533012404894,92.69631004307675
63,2026-07-15T17:16:30.961,1412,-0.05647922,-0.004917929,0.12327632,1341.217642218392,-344.02162773068346,217.96640992517348
64,2026-07-15T17:16:31.326,1421,-0.04749821,0.022944214,0.107467145,725.1258017297552,-2154.6863510709672,98.36437451771458
65,2026-07-15T17:16:31.700,1431,-0.043074716,0.022913268,0.10060956,925.9616203659,-1232.271228054823,135.03313710943434
66,2026-07-15T17:16:32.066,1442,-0.056687955,0.014697907,0.13674822,847.3690517695024,-707.343079542612,217.8163398976978
67,2026-07-15T17:16:32.419,1452,-0.058885574,0.01571323,0.14013545,787.4455453827934,-708.0238368388399,209.79277758016858
68,2026-07-15T17:16:32.789,1462,-0.05733495,0.017282475,0.13425414,782.5800458704618,-817.7306420672481,223.1396845692682
69,2026-07-15T17:16:33.159,1472,-0.055358503,0.019661626,0.13419409,788.2425914830015,-836.5906360280774,217.1887996244236
70,2026-07-15T17:16:33.508,1481,-0.054691445,0.021065038,0.13635635,714.3135746470931,-798.1723031155553,170.8496169562644
